#query	seed_ortholog	evalue	score	eggNOG_OGs	max_annot_lvl	COG_category	Description	Preferred_name	GOs	EC	KEGG_ko	KEGG_Pathway	KEGG_Module	KEGG_Reaction	KEGG_rclass	BRITE	KEGG_TC	CAZy	BiGG_Reaction	PFAMs
MGYG000000007_00039	680646.RMDY18_18410	9.12e-122	351.0	COG4803@1|root,COG4803@2|Bacteria,2HTQ4@201174|Actinobacteria,1WC1C@1268|Micrococcaceae	201174|Actinobacteria	S	membrane protein of uknown function UCP014873	-	-	-	-	-	-	-	-	-	-	-	-	DUF1269
MGYG000000007_00074	680646.RMDY18_17970	0.0	1095.0	COG0747@1|root,COG0747@2|Bacteria,2GJ9N@201174|Actinobacteria,1W8WV@1268|Micrococcaceae	201174|Actinobacteria	E	Bacterial extracellular solute-binding proteins, family 5 Middle	oppA	-	-	ko:K02035	ko02024,map02024	M00239	-	-	ko00000,ko00001,ko00002,ko02000	3.A.1.5	-	-	ABC_tran,SBP_bac_5,TAT_signal,oligo_HPY
MGYG000000007_00107	680646.RMDY18_17600	4.21e-121	345.0	COG3832@1|root,COG3832@2|Bacteria,2GSS2@201174|Actinobacteria,1WC8F@1268|Micrococcaceae	201174|Actinobacteria	S	Activator of Hsp90 ATPase homolog 1-like protein	-	-	-	-	-	-	-	-	-	-	-	-	AHSA1
MGYG000000007_00141	680646.RMDY18_15030	4.23e-292	798.0	COG0438@1|root,COG0438@2|Bacteria,2GIZG@201174|Actinobacteria,1W8HM@1268|Micrococcaceae	201174|Actinobacteria	M	Glycosyl transferase 4-like	-	-	2.4.1.337	ko:K19002	ko00561,ko01100,map00561,map01100	-	R10850	RC00005,RC00059	ko00000,ko00001,ko01000,ko01003	-	GT4	-	EmrE,Glyco_trans_1_4,Glyco_trans_4_4,Glyco_transf_4,Glycos_transf_1,Mg_trans_NIPA
MGYG000000007_00272	1032480.MLP_37390	1.28e-73	221.0	COG0640@1|root,COG0640@2|Bacteria,2IMDE@201174|Actinobacteria,4DS0B@85009|Propionibacteriales	201174|Actinobacteria	K	Bacterial regulatory protein, arsR family	cmtR	GO:0003674,GO:0003676,GO:0003677,GO:0003700,GO:0005488,GO:0006355,GO:0008150,GO:0009889,GO:0010035,GO:0010038,GO:0010288,GO:0010468,GO:0010556,GO:0019219,GO:0019222,GO:0031323,GO:0031326,GO:0032791,GO:0042221,GO:0043167,GO:0043169,GO:0046686,GO:0046870,GO:0046872,GO:0046914,GO:0050789,GO:0050794,GO:0050896,GO:0051171,GO:0051252,GO:0060255,GO:0065007,GO:0080090,GO:0097063,GO:0097159,GO:0140110,GO:1901363,GO:1903506,GO:2000112,GO:2001141	-	ko:K21885	-	-	-	-	ko00000,ko03000	-	-	-	HTH_20,HTH_5
MGYG000000007_00400	680646.RMDY18_04950	4.28e-72	217.0	COG0256@1|root,COG0256@2|Bacteria,2IKTX@201174|Actinobacteria,1W9G5@1268|Micrococcaceae	201174|Actinobacteria	J	This is one of the proteins that binds and probably mediates the attachment of the 5S RNA into the large ribosomal subunit, where it forms part of the central protuberance	rplR	GO:0003674,GO:0003676,GO:0003723,GO:0005488,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0005840,GO:0008097,GO:0008150,GO:0015934,GO:0019843,GO:0022625,GO:0022626,GO:0032991,GO:0040007,GO:0043226,GO:0043228,GO:0043229,GO:0043232,GO:0044391,GO:0044422,GO:0044424,GO:0044444,GO:0044445,GO:0044446,GO:0044464,GO:0097159,GO:1901363,GO:1990904	-	ko:K02881	ko03010,map03010	M00178,M00179	-	-	br01610,ko00000,ko00001,ko00002,ko03011	-	-	-	Ribosomal_L18p
MGYG000000007_00432	680646.RMDY18_05310	4.08e-249	685.0	COG0533@1|root,COG0533@2|Bacteria,2GJ98@201174|Actinobacteria,1W7WJ@1268|Micrococcaceae	201174|Actinobacteria	O	Required for the formation of a threonylcarbamoyl group on adenosine at position 37 (t(6)A37) in tRNAs that read codons beginning with adenine. Is involved in the transfer of the threonylcarbamoyl moiety of threonylcarbamoyl-AMP (TC-AMP) to the N6 group of A37, together with TsaE and TsaB. TsaD likely plays a direct catalytic role in this reaction	tsaD	GO:0000408,GO:0002949,GO:0005575,GO:0005622,GO:0005623,GO:0006139,GO:0006396,GO:0006399,GO:0006400,GO:0006725,GO:0006807,GO:0008033,GO:0008150,GO:0008152,GO:0009451,GO:0009987,GO:0010467,GO:0016070,GO:0032991,GO:0034470,GO:0034641,GO:0034660,GO:0043170,GO:0043412,GO:0044237,GO:0044238,GO:0044424,GO:0044464,GO:0046483,GO:0070525,GO:0071704,GO:0090304,GO:1901360	2.3.1.234	ko:K01409	-	-	R10648	RC00070,RC00416	ko00000,ko01000,ko03016	-	-	-	Acetyltransf_1,Acetyltransf_10,Peptidase_M22,TsaE
MGYG000000007_00022	680646.RMDY18_18590	2.03e-243	672.0	COG0626@1|root,COG0626@2|Bacteria,2GJ5S@201174|Actinobacteria,1W89J@1268|Micrococcaceae	201174|Actinobacteria	E	cystathionine	metC1	-	4.4.1.8	ko:K01760	ko00270,ko00450,ko01100,ko01110,ko01230,map00270,map00450,map01100,map01110,map01230	M00017	R00782,R01286,R02408,R04941	RC00056,RC00069,RC00382,RC00488,RC00710,RC01245,RC02303	ko00000,ko00001,ko00002,ko01000	-	-	-	Cys_Met_Meta_PP
MGYG000000007_00054	680646.RMDY18_18220	0.0	981.0	COG0493@1|root,COG0493@2|Bacteria,2GJ4A@201174|Actinobacteria,1W84I@1268|Micrococcaceae	201174|Actinobacteria	E	Pyridine nucleotide-disulphide oxidoreductase	fprA	-	1.18.1.2,1.19.1.1	ko:K00528	-	-	R10159	-	ko00000,ko01000	-	-	-	FAD_binding_2,NAD_binding_9,Pyr_redox_2
MGYG000000007_00123	680646.RMDY18_17430	0.0	882.0	COG1109@1|root,COG1109@2|Bacteria,2GJQA@201174|Actinobacteria,1W7R2@1268|Micrococcaceae	201174|Actinobacteria	G	phosphoglucomutase phosphomannomutase alpha beta alpha domain I	manB	GO:0000271,GO:0000287,GO:0003674,GO:0003824,GO:0004614,GO:0004615,GO:0005488,GO:0005975,GO:0005976,GO:0006082,GO:0006629,GO:0008150,GO:0008152,GO:0008610,GO:0008653,GO:0009058,GO:0009059,GO:0009103,GO:0009243,GO:0009244,GO:0009311,GO:0009312,GO:0009405,GO:0009987,GO:0016051,GO:0016053,GO:0016853,GO:0016866,GO:0016868,GO:0017144,GO:0019752,GO:0033692,GO:0034637,GO:0034645,GO:0042120,GO:0042121,GO:0043167,GO:0043169,GO:0043170,GO:0043436,GO:0044237,GO:0044238,GO:0044249,GO:0044255,GO:0044260,GO:0044262,GO:0044264,GO:0044281,GO:0044283,GO:0044419,GO:0046394,GO:0046401,GO:0046402,GO:0046872,GO:0051704,GO:0071704,GO:1901135,GO:1901137,GO:1901576,GO:1903509	5.4.2.8	ko:K01840	ko00051,ko00520,ko01100,ko01110,ko01130,map00051,map00520,map01100,map01110,map01130	M00114	R01818	RC00408	ko00000,ko00001,ko00002,ko01000	-	-	-	PGM_PMM_I,PGM_PMM_II,PGM_PMM_III,PGM_PMM_IV
