#query	seed_ortholog	evalue	score	eggNOG_OGs	max_annot_lvl	COG_category	Description	Preferred_name	GOs	EC	KEGG_ko	KEGG_Pathway	KEGG_Module	KEGG_Reaction	KEGG_rclass	BRITE	KEGG_TC	CAZy	BiGG_Reaction	PFAMs
MGYG000000004_00193	351160.RCIX132	8.13e-133	392.0	arCOG01917@1|root,arCOG01917@2157|Archaea,2XYA0@28890|Euryarchaeota	28890|Euryarchaeota	O	SPFH domain-Band 7 family	-	-	-	-	-	-	-	-	-	-	-	-	Band_7_1,DZR,zf-ribbon_3,zinc_ribbon_2
MGYG000000004_00226	1236689.MMALV_15420	5.47e-296	840.0	COG0417@1|root,arCOG00328@2157|Archaea,2XU1K@28890|Euryarchaeota,3F2F0@33867|unclassified Euryarchaeota	28890|Euryarchaeota	L	DNA polymerase type-B family	polB1	-	2.7.7.7	ko:K02319	ko00230,ko00240,ko01100,ko03030,map00230,map00240,map01100,map03030	-	R00375,R00376,R00377,R00378	RC02795	ko00000,ko00001,ko01000,ko03032	-	-	-	DNA_pol_B,DNA_pol_B_exo1,Hom_end,Intein_splicing,LAGLIDADG_3
MGYG000000004_00258	1236689.MMALV_03900	1.87e-118	360.0	COG0477@1|root,arCOG00147@2157|Archaea,2XV9K@28890|Euryarchaeota	28890|Euryarchaeota	G	COG0477 Permeases of the major facilitator superfamily	-	-	-	-	-	-	-	-	-	-	-	-	MFS_1,Sugar_tr
MGYG000000004_00290	410358.Mlab_1649	2.22e-132	389.0	COG0082@1|root,arCOG04133@2157|Archaea,2XT26@28890|Euryarchaeota,2N90S@224756|Methanomicrobia	224756|Methanomicrobia	E	Catalyzes the anti-1,4-elimination of the C-3 phosphate and the C-6 proR hydrogen from 5-enolpyruvylshikimate-3-phosphate (EPSP) to yield chorismate, which is the branch point compound that serves as the starting substrate for the three terminal pathways of aromatic amino acid biosynthesis. This reaction introduces a second double bond into the aromatic ring system	aroC	-	4.2.3.5	ko:K01736	ko00400,ko01100,ko01110,ko01130,ko01230,map00400,map01100,map01110,map01130,map01230	M00022	R01714	RC00586	ko00000,ko00001,ko00002,ko01000	-	-	-	Chorismate_synt
MGYG000000004_00323	1236689.MMALV_02600	6.8e-15	72.8	arCOG14960@1|root,arCOG14960@2157|Archaea,2Y4X2@28890|Euryarchaeota	28890|Euryarchaeota	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
MGYG000000004_00358	395961.Cyan7425_2539	6.84e-28	114.0	COG0500@1|root,COG2226@2|Bacteria	2|Bacteria	Q	methyltransferase	-	-	-	-	-	-	-	-	-	-	-	-	Amino_oxidase,Methyltransf_11,Methyltransf_23
MGYG000000004_00391	1034769.KB910518_gene667	8.21e-12	72.0	COG0613@1|root,COG1409@1|root,COG2247@1|root,COG3507@1|root,COG3940@1|root,COG5184@1|root,COG5492@1|root,COG0613@2|Bacteria,COG1409@2|Bacteria,COG2247@2|Bacteria,COG3507@2|Bacteria,COG3940@2|Bacteria,COG5184@2|Bacteria,COG5492@2|Bacteria,1VA5K@1239|Firmicutes,4IUF6@91061|Bacilli,277KK@186822|Paenibacillaceae	91061|Bacilli	N	S-layer homology domain	-	-	-	-	-	-	-	-	-	-	-	-	Big_2,CarboxypepD_reg,ChW,DUF5011,Flg_new,Glucosaminidase,Glyco_hydro_43,LRR_5,Laminin_G_3,Metallophos,SLH
MGYG000000004_00423	645991.Sgly_2788	5.05e-50	169.0	COG5012@1|root,COG5012@2|Bacteria,1V1P0@1239|Firmicutes,24G08@186801|Clostridia,2626Y@186807|Peptococcaceae	186801|Clostridia	S	Methionine synthase, cobalamin (vitamin B12)-binding module, cap	mtbC	-	-	-	-	-	-	-	-	-	-	-	B12-binding,B12-binding_2
MGYG000000004_00489	1041930.Mtc_0324	3.43e-94	303.0	COG0373@1|root,arCOG01036@2157|Archaea,2XTTG@28890|Euryarchaeota,2N97X@224756|Methanomicrobia	224756|Methanomicrobia	H	Catalyzes the NADPH-dependent reduction of glutamyl- tRNA(Glu) to glutamate 1-semialdehyde (GSA)	hemA	-	1.2.1.70	ko:K02492	ko00860,ko01100,ko01110,ko01120,map00860,map01100,map01110,map01120	M00121	R04109	RC00055,RC00149	ko00000,ko00001,ko00002,ko01000	-	-	-	GlutR_N,GlutR_dimer,Shikimate_DH
MGYG000000004_00523	644281.MFS40622_0605	5.6e-25	114.0	COG2244@1|root,arCOG02209@2157|Archaea,2XZJ5@28890|Euryarchaeota	28890|Euryarchaeota	S	Polysaccharide biosynthesis protein	-	-	-	-	-	-	-	-	-	-	-	-	Polysacc_synt,Polysacc_synt_3
