#query	seed_ortholog	evalue	score	eggNOG_OGs	max_annot_lvl	COG_category	Description	Preferred_name	GOs	EC	KEGG_ko	KEGG_Pathway	KEGG_Module	KEGG_Reaction	KEGG_rclass	BRITE	KEGG_TC	CAZy	BiGG_Reaction	PFAMs
MGYG000000006_01260	1236689.MMALV_06910	9.56e-68	234.0	COG5421@1|root,arCOG03473@2157|Archaea,2Y0AN@28890|Euryarchaeota	28890|Euryarchaeota	-	-	-	-	-	-	-	-	-	-	-	-	-	-	DDE_Tnp_1
MGYG000000006_01294	1054217.TALC_01266	1.15e-185	533.0	COG0034@1|root,arCOG00093@2157|Archaea,2XSWJ@28890|Euryarchaeota,241K9@183967|Thermoplasmata	183967|Thermoplasmata	F	Catalyzes the formation of phosphoribosylamine from phosphoribosylpyrophosphate (PRPP) and glutamine	purF	-	2.4.2.14	ko:K00764	ko00230,ko00250,ko01100,ko01110,ko01130,map00230,map00250,map01100,map01110,map01130	M00048	R01072	RC00010,RC02724,RC02752	ko00000,ko00001,ko00002,ko01000,ko01002	-	-	-	GATase_6,GATase_7,Pribosyltran
MGYG000000006_01328	1236689.MMALV_10940	0.0	1118.0	COG0423@1|root,COG0525@1|root,arCOG00405@2157|Archaea,arCOG00808@2157|Archaea,2XSXQ@28890|Euryarchaeota,3F2GU@33867|unclassified Euryarchaeota	28890|Euryarchaeota	J	Anticodon-binding domain of tRNA	valS	GO:0003674,GO:0003824,GO:0004812,GO:0004832,GO:0006082,GO:0006139,GO:0006399,GO:0006412,GO:0006418,GO:0006438,GO:0006518,GO:0006520,GO:0006725,GO:0006807,GO:0008150,GO:0008152,GO:0009058,GO:0009059,GO:0009987,GO:0010467,GO:0016070,GO:0016874,GO:0016875,GO:0019538,GO:0019752,GO:0034641,GO:0034645,GO:0034660,GO:0043038,GO:0043039,GO:0043043,GO:0043170,GO:0043436,GO:0043603,GO:0043604,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044267,GO:0044271,GO:0044281,GO:0046483,GO:0071704,GO:0090304,GO:0140098,GO:0140101,GO:1901360,GO:1901564,GO:1901566,GO:1901576	6.1.1.9	ko:K01873	ko00970,map00970	M00359,M00360	R03665	RC00055,RC00523	ko00000,ko00001,ko00002,ko01000,ko01007,ko03016	-	-	iAF692.Mbar_A1976	Anticodon_1,tRNA-synt_1
MGYG000000006_01362	1504822.CCNO01000014_gene1300	1.1e-103	320.0	2DBKD@1|root,2Z9SP@2|Bacteria	2|Bacteria	S	Domain of unknown function (DUF4263)	-	-	-	-	-	-	-	-	-	-	-	-	DUF4263
MGYG000000006_01394	644282.Deba_0698	3.83e-07	50.4	2EQ2I@1|root,33HNX@2|Bacteria,1NQ0R@1224|Proteobacteria,42XFA@68525|delta/epsilon subdivisions,2WTCX@28221|Deltaproteobacteria	28221|Deltaproteobacteria	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
MGYG000000006_01428	456442.Mboo_1456	1.46e-149	446.0	COG0248@1|root,arCOG05138@2157|Archaea,2XZYT@28890|Euryarchaeota,2NAE7@224756|Methanomicrobia	224756|Methanomicrobia	F	Ppx GppA phosphatase	-	-	3.6.1.11,3.6.1.40	ko:K01524	ko00230,map00230	-	R03409	RC00002	ko00000,ko00001,ko01000	-	-	-	HD,Ppx-GppA
MGYG000000006_01495	1054217.TALC_01348	2.95e-18	79.3	COG0721@1|root,arCOG02726@2157|Archaea	2157|Archaea	J	Allows the formation of correctly charged Asn-tRNA(Asn) or Gln-tRNA(Gln) through the transamidation of misacylated Asp- tRNA(Asn) or Glu-tRNA(Gln) in organisms which lack either or both of asparaginyl-tRNA or glutaminyl-tRNA synthetases. The reaction takes place in the presence of glutamine and ATP through an activated phospho-Asp-tRNA(Asn) or phospho-Glu-tRNA(Gln)	gatC	-	6.3.5.6,6.3.5.7	ko:K02435	ko00970,ko01100,map00970,map01100	-	R03905,R04212	RC00010	ko00000,ko00001,ko01000,ko03029	-	-	-	Amidase,Glu-tRNAGln
MGYG000000006_01527	1121382.JQKG01000076_gene3708	3.28e-65	213.0	COG0053@1|root,COG0053@2|Bacteria,1WI3N@1297|Deinococcus-Thermus	1297|Deinococcus-Thermus	P	Belongs to the cation diffusion facilitator (CDF) transporter (TC 2.A.4) family	czrB	-	-	-	-	-	-	-	-	-	-	-	Cation_efflux,ZT_dimer
MGYG000000006_00007	645991.Sgly_2788	5.05e-50	169.0	COG5012@1|root,COG5012@2|Bacteria,1V1P0@1239|Firmicutes,24G08@186801|Clostridia,2626Y@186807|Peptococcaceae	186801|Clostridia	S	Methionine synthase, cobalamin (vitamin B12)-binding module, cap	mtbC	-	-	-	-	-	-	-	-	-	-	-	B12-binding,B12-binding_2
MGYG000000006_00966	1236689.MMALV_01960	4.37e-100	293.0	COG0377@1|root,arCOG01554@2157|Archaea,2XTP1@28890|Euryarchaeota,3F2RH@33867|unclassified Euryarchaeota	28890|Euryarchaeota	C	Belongs to the complex I 20 kDa subunit family	nuoB	-	1.5.98.3,1.6.5.3	ko:K00331,ko:K22159	ko00190,ko01100,map00190,map01100	M00144	R11945	RC00061	ko00000,ko00001,ko00002,ko01000	3.D.1,3.D.9.1	-	-	Oxidored_q6
